system:time_start,ndvi
"Nov 28, 2017",0.505
"Nov 28, 2017",0.504
"Dec 13, 2017",0.279
"Dec 18, 2017",0.32
"Dec 28, 2017",0.244
"Dec 28, 2017",0.253
"Jan 2, 2018",0.423
"Jan 2, 2018",0.43
"Jan 7, 2018",0.249
"Jan 12, 2018",0.521
"Jan 12, 2018",0.456
"Jan 17, 2018",0.311
"Jan 17, 2018",0.304
"Jan 22, 2018",0.485
"Jan 22, 2018",0.471
"Jan 27, 2018",0.314
"Jan 27, 2018",0.324
"Feb 1, 2018",0.282
"Feb 1, 2018",0.285
"Feb 6, 2018",0.319
"Feb 6, 2018",0.313
"Mar 8, 2018",0.424
"Apr 12, 2018",0.541
"Apr 27, 2018",0.479
"Apr 27, 2018",0.507
"May 22, 2018",0.53
"Jun 6, 2018",0.509
"Jul 16, 2018",0.476
"Jul 31, 2018",0.503
"Aug 5, 2018",0.557
"Aug 5, 2018",0.602
"Oct 9, 2018",0.481
"Nov 3, 2018",0.516
"Nov 23, 2018",0.497
"Nov 23, 2018",0.515
"Nov 28, 2018",0.424
"Nov 28, 2018",0.412
"Dec 3, 2018",0.453
"Dec 3, 2018",0.545
"Dec 18, 2018",0.462
"Dec 18, 2018",0.439
"Dec 23, 2018",0.364
"Dec 23, 2018",0.358
"Dec 28, 2018",0.338
"Dec 28, 2018",0.327
"Jan 2, 2019",0.417
"Jan 2, 2019",0.424
"Jan 7, 2019",0.434
"Jan 17, 2019",0.295
"Jan 22, 2019",0.445
"Jan 22, 2019",0.326
"Feb 11, 2019",0.451
"Feb 11, 2019",0.501
"Feb 16, 2019",0.343
"Feb 16, 2019",0.325
"Feb 21, 2019",0.523
"Feb 21, 2019",0.507
"Feb 26, 2019",0.552
"Feb 26, 2019",0.487
"Mar 3, 2019",0.53
"Mar 8, 2019",0.43
"Mar 13, 2019",0.467
"Mar 13, 2019",0.444
"Mar 18, 2019",0.509
"Apr 2, 2019",0.527
"Apr 2, 2019",0.544
"Apr 22, 2019",0.442
"May 2, 2019",0.488
"May 2, 2019",0.451
"Oct 29, 2019",0.506
"Nov 13, 2019",0.526
"Nov 13, 2019",0.534
"Nov 18, 2019",0.459
"Nov 18, 2019",0.42
"Nov 23, 2019",0.503
"Nov 23, 2019",0.505
"Nov 28, 2019",0.51
"Nov 28, 2019",0.49
"Dec 3, 2019",0.496
"Dec 3, 2019",0.495
"Dec 8, 2019",0.448
"Dec 8, 2019",0.418
"Dec 13, 2019",0.457
"Dec 13, 2019",0.418
"Dec 18, 2019",0.421
"Dec 18, 2019",0.355
"Dec 23, 2019",0.476
"Dec 23, 2019",0.41
"Dec 28, 2019",0.5
"Dec 28, 2019",0.436
"Jan 2, 2020",0.571
"Jan 2, 2020",0.56
"Jan 7, 2020",0.348
"Jan 7, 2020",0.362
"Jan 12, 2020",0.457
"Jan 12, 2020",0.455
"Jan 17, 2020",0.36
"Jan 17, 2020",0.383
"Jan 22, 2020",0.288
"Jan 22, 2020",0.295
"Jan 27, 2020",0.303
"Jan 27, 2020",0.304
"Feb 1, 2020",0.355
"Feb 6, 2020",0.272
"Feb 6, 2020",0.188
"Feb 16, 2020",0.289
"Feb 16, 2020",0.269
"Feb 21, 2020",0.256
"May 1, 2020",0.396
"May 26, 2020",0.581
"May 31, 2020",0.512
"May 31, 2020",0.519
"Aug 4, 2020",0.658
"Aug 4, 2020",0.601
"Nov 2, 2020",0.398
"Nov 12, 2020",0.438
"Nov 12, 2020",0.407
"Dec 2, 2020",0.499
"Dec 22, 2020",0.313
"Dec 27, 2020",0.364
"Dec 27, 2020",0.362
"Jan 6, 2021",0.409
"Jan 11, 2021",0.353
"Jan 11, 2021",0.373
"Jan 16, 2021",0.385
"Jan 16, 2021",0.438
"Jan 21, 2021",0.321
"Jan 21, 2021",0.338
"Jan 26, 2021",0.355
"Jan 26, 2021",0.324
"Jan 31, 2021",0.311
"Jan 31, 2021",0.34
"Feb 10, 2021",0.398
"Feb 10, 2021",0.402
"Feb 25, 2021",0.361
"Apr 1, 2021",0.181
"Apr 6, 2021",0.4
"Apr 11, 2021",0.6
"May 1, 2021",0.558
"May 1, 2021",0.521
"Jul 30, 2021",0.406
"Jul 30, 2021",0.399
"Oct 13, 2021",0.584
"Oct 13, 2021",0.616
"Nov 7, 2021",0.522
"Nov 17, 2021",0.548
"Dec 2, 2021",0.496
"Dec 2, 2021",0.468
"Jan 1, 2022",0.292
"Jan 6, 2022",0.317
"Jan 6, 2022",0.249
"Jan 21, 2022",0.449
"Jan 21, 2022",0.442
"Jan 26, 2022",0.276
"Jan 26, 2022",0.279
"Feb 5, 2022",0.168
"Feb 5, 2022",0.185
"Feb 10, 2022",0.197
"Feb 10, 2022",0.209
"Mar 7, 2022",0.273
"Mar 7, 2022",0.272
"Apr 11, 2022",0.282
